SCHOOLJAAR 2011-2012 IN HET VO (peildatum 1 oktober 2011);;;;;;;SCHOOLJAAR 2012-2013 IN HET MBO (peildatum 1 oktober 2012);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE NAAM;KWALIFICATIE CODE;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LU;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;85;Ooststellingwerf;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LW;BOL;economie ;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LW;BOL;techniek ;Autotechniek (Technisch specialist personenautos);93430;02FZ;Innovam Groep;1699;Noordenveld;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LW;BOL;combinatie;Juridisch medewerker;22161;00SP;ECABO;1699;Noordenveld;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LW;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;1699;Noordenveld;1
00DI;2;22;Leek;havo;geen diploma;cul/maat;14NZ;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;1699;Noordenveld;1
00DI;2;22;Leek;havo;geen diploma;cul/maat;25LU;BOL;zorg en welzijn;Maatschappelijke Zorg (Persoonlijk begeleider specifieke doelgroepen);92662;02QG;Calibris;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;ec/maat & cul/maat;14NZ;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;25;Marum;1
00DI;2;22;Leek;havo;diploma;ec/maat;25LW;BOL;zorg en welzijn;Sociaal-maatschappelijk dienstverlener (Sociaal-maatschappelijk dienstverlener);92670;02QG;Calibris;22;Leek;1
00DI;2;22;Leek;havo;diploma;cul/maat;08PG;BOL;combinatie;Kok (Zelfstandig werkend kok);95420;02PY;Kenwerk;25;Marum;1
00DI;2;22;Leek;havo;diploma;ec/maat & cul/maat;25LU;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;22;Leek;1
00DI;2;22;Leek;vwo;diploma;cul/maat;02PN;BOL;techniek ;Vormgeving ruimtelijke presentatie en communicatie;91540;02FW;Savantis;1699;Noordenveld;1
00HI;0;1916;Leidschendam-Voorburg;havo;geen diploma;ec/maat;27GZ;BOL;zorg en welzijn;Pedagogisch Werk (Pedagogisch medewerker 4 jeugdzorg);92631;02QG;Calibris;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;havo;geen diploma;ec/maat;27GZ;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;havo;geen diploma;ec/maat;27GZ;BOL;combinatie;Facilitair leidinggevende;95750;02PY;Kenwerk;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;havo;geen diploma;cul/maat;23JA;BOL;economie ;Medewerker marketing en communicatie (Assisent Communicatiemedewerker);90531;00SP;ECABO;1916;Leidschendam-Voorburg;2
00HI;0;1916;Leidschendam-Voorburg;havo;geen diploma;cul/maat;26CC;BOL;landbouw ;Natuur en vormgeving (specialist natuur en vormgeving);97490;25DC;Aequor;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;havo;geen diploma;cul/maat;27GZ;BOL;zorg en welzijn;Doktersassistent;91310;02QG;Calibris;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;havo;diploma;ec/maat & cul/maat;27GZ;BOL;techniek ;Medewerker design (Medewerker styling);94471;00SE;Kenniscentrum Handel;603;Rijswijk;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;nat/tech;25PZ;BOL;combinatie;Technicus mechanica;95764;02PR;Kenteq;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;nat/gezond;25PX;BOL;techniek ;Mediavormgever (Interactieve vormgeving);90414;02PT;Kenniscentrum GOC;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;nat/gezond;25PZ;BOL;techniek ;Aviation operations officer (Aviation Operations Officer);93010;25HV;VTL;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;nat/gezond;25PZ;BOL;combinatie;Technicus mechanica;95764;02PR;Kenteq;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25EF;BOL;combinatie;Recreatiedieren (Ondernemer/manager recreatiedieren);97730;25DC;Aequor;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PX;BBL;techniek ;Chauffeur goederenvervoer;91830;25HV;VTL;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PX;BBL;combinatie;Kok (Zelfstandig werkend kok);95420;02PY;Kenwerk;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PZ;BOL;economie ;Veiligheid en vakmanschap (Aankomend onderofficier grondoptreden);95091;00SP;ECABO;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;cul/maat;02PK;BOL;combinatie;Vormgeving ruimtelijke presentatie en communicatie;22093;02FW;Savantis;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;cul/maat;25PX;BOL;economie ;Commercieel medewerker ((Junior) Accountmanager);93801;00SP;ECABO;358;Aalsmeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;cul/maat;25PZ;BOL;techniek ;Medewerker design (Medewerker styling);94471;00SE;Kenniscentrum Handel;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;nat/tech & nat/gezond;25EF;BOL;combinatie;Recreatiedieren (Ondernemer/manager recreatiedieren);97730;25DC;Aequor;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;diploma;nat/gezond;25PZ;BOL;combinatie;Technicus mechanica;95764;02PR;Kenteq;394;Haarlemmermeer;1
00JR;0;606;Schiedam;havo;geen diploma;ec/maat;00GT;BOL;zorg en welzijn;ovd07 Onderwijsassistent;93500;02QG;Calibris;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;ec/maat;00GT;BOL;combinatie;Medewerker marketing en communicatie;22166;00SP;ECABO;606;Schiedam;2
00JR;0;606;Schiedam;havo;geen diploma;ec/maat;00GT;BOL;combinatie;Secretariele beroepen (Directiesecretaresse/managementassistent);95391;00SP;ECABO;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;ec/maat;01AA;BOL;economie ;Manager handel (Vestigingsmanager groothandel);93494;00SE;Kenniscentrum Handel;556;Maassluis;1
00JR;0;606;Schiedam;havo;geen diploma;ec/maat;25LP;BOL;economie ;Financiele beroepen;93210;00SP;ECABO;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;cul/maat;25LF;BOL;combinatie;medewerker Podium- en evenemententechniek;95712;02PT;Kenniscentrum GOC;622;Vlaardingen;1
00JR;0;606;Schiedam;havo;geen diploma;cul/maat;25LP;BOL;economie ;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;622;Vlaardingen;1
00JR;0;606;Schiedam;havo;geen diploma;cul/maat;25LP;BOL;combinatie;Logistiek supervisor (Logistiek supervisor KC Handel);90216;00SE;Kenniscentrum Handel;606;Schiedam;1
00JR;0;606;Schiedam;havo;diploma;ec/maat;00GT;BOL;zorg en welzijn;Doktersassistent;91310;02QG;Calibris;606;Schiedam;1
00JR;0;606;Schiedam;havo;diploma;cul/maat;25LP;BOL;zorg en welzijn;Pedagogisch Werk (Gespecialiseerd pedagogisch medewerker 4  kinderopvang);92632;02QG;Calibris;606;Schiedam;1
00JR;0;606;Schiedam;vwo;geen diploma;cul/maat;25LP;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;556;Maassluis;1
00JT;0;307;Amersfoort;havo;geen diploma;nvt/geen profiel;09MR;BOL;economie ;Commercieel medewerker ((Junior) Accountmanager);93801;00SP;ECABO;342;Soest;1
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;13US;BOL;landbouw ;Dierenartsassistent paraveterinair;97590;25DC;Aequor;233;Ermelo;1
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;17WH;BBL;economie ;Medewerker versdetailhandel (Verkoopmedewerker versspeciaalzaak);91652;17IJ;SVO;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;25LH;BOL;economie ;Verkoopspecialist (Eerste verkoper);90384;00SE;Kenniscentrum Handel;307;Amersfoort;1
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;25LH;BOL;zorg en welzijn;ovd07 Onderwijsassistent;93500;02QG;Calibris;313;Bunschoten;2
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;25LH;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;307;Amersfoort;1
00JT;0;307;Amersfoort;havo;geen diploma;cul/maat;25LH;BOL;economie ;Medewerker personeel en arbeid;94900;00SP;ECABO;228;Ede;1
00JT;0;307;Amersfoort;havo;geen diploma;cul/maat;25LH;BOL;zorg en welzijn;Pedagogisch Werk (Pedagogisch medewerker 3 kinderopvang);92620;02QG;Calibris;267;Nijkerk;1
00JT;0;307;Amersfoort;havo;geen diploma;cul/maat;25LH;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;diploma;nat/tech;25LH;BOL;techniek ;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris Bouw);94051;02QH;Fundeon;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;diploma;ec/maat;25PJ;BOL;economie ;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;193;Zwolle;1
00JT;0;307;Amersfoort;havo;diploma;cul/maat;25LP;BOL;techniek ;Goud- en Zilversmeden (Goudsmid);92803;02PS;SVGB;307;Amersfoort;1
00KV;0;777;Etten-Leur;havo;geen diploma;nvt/geen profiel;25LX;BOL;techniek ;Allround operator (Operator B);90012;02QD;Kenniscentrum PMLF;840;Rucphen;1
00KV;0;777;Etten-Leur;havo;geen diploma;nvt/geen profiel;25LX;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;840;Rucphen;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/tech;21CY;BOL;landbouw ;Dierenartsassistent paraveterinair;97590;25DC;Aequor;840;Rucphen;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/tech;25LX;BOL;techniek ;Mediavormgever (Grafische vormgeving);90413;02PT;Kenniscentrum GOC;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/tech;25LX;BOL;techniek ;Analist (Chemisch-fysisch analist);93714;02QD;Kenniscentrum PMLF;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/tech;25LX;BOL;techniek ;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris Bouw);94051;02QH;Fundeon;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/tech;25LX;BOL;techniek ;Middenkader engineering (Technicus);94421;02PR;Kenteq;840;Rucphen;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/tech;25LX;BOL;techniek ;Middenkader engineering (Technicus);94421;02PR;Kenteq;879;Zundert;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/gezond;25LX;BOL;economie ;Kok;90760;02PY;Kenwerk;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/gezond;25LX;BOL;economie ;Veiligheid en vakmanschap (Aankomend medewerker grondoptreden);95081;00SP;ECABO;840;Rucphen;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/gezond;25LX;BOL;zorg en welzijn;ovd07 Onderwijsassistent;93500;02QG;Calibris;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;nat/gezond;25PV;BOL;combinatie;Sport en bewegen;22171;02QG;Calibris;879;Zundert;1
00KV;0;777;Etten-Leur;havo;geen diploma;ec/maat;25LX;BOL;economie ;Ondernemer detailhandel;90290;00SE;Kenniscentrum Handel;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;ec/maat;25LX;BOL;techniek ;Werkplaatsmanagement Mobiliteitsbranche (Werkplaatsmanager Motorvoertuigentechn;93384;02FZ;Innovam Groep;840;Rucphen;1
00KV;0;777;Etten-Leur;havo;geen diploma;ec/maat;25LX;BOL;zorg en welzijn;Sociaal-cultureel werker;91370;02QG;Calibris;879;Zundert;1
00KV;0;777;Etten-Leur;havo;geen diploma;ec/maat;25LX;BOL;zorg en welzijn;Pedagogisch Werk (Pedagogisch medewerker 3 kinderopvang);92620;02QG;Calibris;840;Rucphen;1
00KV;0;777;Etten-Leur;havo;geen diploma;ec/maat;25LX;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;ec/maat;25LX;BBL;economie ;Manager handel (Filiaalmanager);93492;00SE;Kenniscentrum Handel;777;Etten-Leur;1
00KV;0;777;Etten-Leur;havo;geen diploma;ec/maat;25PV;BOL;combinatie;Sport en bewegen;22171;02QG;Calibris;840;Rucphen;1
