SCHOOLJAAR 2010-2011 IN HET VO (peildatum 1 oktober 2010);;;;;;;SCHOOLJAAR 2011-2012 IN HET MBO (peildatum 1 oktober 2011);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE NAAM;KWALIFICATIE CODE;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00JR;0;606;Schiedam;havo;geen diploma;nat/gezond;25LP;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;ec/maat;00GT;BOL;economie ;Medewerker marketing en communicatie;90530;00SP;ECABO;599;Rotterdam;1
00JR;0;606;Schiedam;havo;geen diploma;ec/maat;00GT;BOL;economie ;Administrateur (Bedrijfsadministrateur);93212;00SP;ECABO;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;ec/maat;00GT;BOL;economie ;Administrateur (Bedrijfsadministrateur);93212;00SP;ECABO;622;Vlaardingen;1
00JR;0;606;Schiedam;havo;geen diploma;ec/maat;25LP;BOL;economie ;Verkoopspecialist (Verkoopspecialist detailhandel);90383;00SE;Kenniscentrum Handel;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;ec/maat;27GZ;BOL;zorg en welzijn;Sociaal-cultureel werker;91370;02QG;Calibris;622;Vlaardingen;1
00JR;0;606;Schiedam;havo;geen diploma;nat/tech & nat/gezond;00GT;BOL;economie ;Ondernemer detailhandel;90290;00SE;Kenniscentrum Handel;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;nat/tech & nat/gezond;05EA;BOL;techniek ;Koopvaardij officier alle schepen;91930;25HV;VTL;622;Vlaardingen;1
00JR;0;606;Schiedam;havo;geen diploma;nat/tech & nat/gezond;25LP;BOL;economie ;Manager handel (Vestigingsmanager groothandel);93494;00SE;Kenniscentrum Handel;599;Rotterdam;1
00JR;0;606;Schiedam;havo;diploma;cul/maat;23JA;BOL;techniek ;Mediavormgever (Grafische vormgeving KC GOC);90413;02PT;Kenniscentrum GOC;622;Vlaardingen;1
