"Investeringen in vaste activa naar type en regio; nationale rekeningen"
"";"Onderwerpen";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa"
"";"Onderwerpen";"Woningen";"Bedrijfsgebouwen";"Grond-weg- en waterbouwkundige werken";"Vervoermiddelen";"Machines en installaties";"In cultuur gebrachte activa";"Overdrachtskosten op grond";"Computerprogrammatuur en databanken";"Onderzoek en ontwikkeling";"Overige investeringen"
"Regio's";"Perioden";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro"
"Kop van Noord-Holland (CR)";"2012";"395";"347";"281";"116";"236";"9";"29";"217";"165";"186"
"Kop van Noord-Holland (CR)";"2013*";"334";"345";"264";"117";"213";"12";"27";"215";"167";"186"
"Alkmaar en omgeving (CR)";"1995";"217";"99";"42";"63";"74";"1";"15";"44";"55";"75"
"Alkmaar en omgeving (CR)";"2010";"399";"534";"108";"65";"158";"1";"20";"179";"86";"125"
"Alkmaar en omgeving (CR)";"2011";"331";"687";"73";"85";"510";"0";"20";"182";"93";"148"
"Alkmaar en omgeving (CR)";"2012";"395";"352";"170";"73";"118";"1";"20";"185";"90";"124"
"Alkmaar en omgeving (CR)";"2013*";"287";"176";"152";"91";"88";"1";"16";"184";"91";"121"
"IJmond (CR)";"1995";"147";"92";"47";"42";"125";"0";"6";"32";"57";"65"
"IJmond (CR)";"2010";"215";"175";"88";"66";"148";"0";"11";"112";"94";"77"
"IJmond (CR)";"2011";"183";"145";"292";"60";"131";"0";"12";"116";"89";"84"
"IJmond (CR)";"2012";"233";"153";"193";"71";"151";"0";"12";"122";"82";"90"
"IJmond (CR)";"2013*";"239";"128";"66";"61";"154";"0";"11";"119";"83";"96"
"Agglomeratie Haarlem (CR)";"1995";"120";"92";"46";"37";"102";"0";"10";"46";"85";"74"
"Agglomeratie Haarlem (CR)";"2010";"554";"175";"162";"46";"77";"0";"17";"174";"152";"116"
"Agglomeratie Haarlem (CR)";"2011";"448";"147";"105";"155";"108";"0";"17";"169";"106";"124"
"Agglomeratie Haarlem (CR)";"2012";"329";"137";"164";"132";"136";"0";"14";"170";"138";"133"
"Agglomeratie Haarlem (CR)";"2013*";"300";"161";"161";"47";"91";"0";"14";"168";"139";"128"
"Zaanstreek (CR)";"1995";"209";"115";"85";"24";"59";"0";"6";"25";"37";"39"
"Zaanstreek (CR)";"2010";"315";"158";"201";"28";"131";"0";"14";"93";"58";"75"
"Zaanstreek (CR)";"2011";"241";"100";"216";"36";"113";"0";"14";"95";"62";"79"
"Zaanstreek (CR)";"2012";"200";"91";"148";"29";"115";"0";"12";"101";"64";"67"
"Zaanstreek (CR)";"2013*";"172";"79";"128";"37";"97";"0";"9";"100";"64";"69"
"Groot-Amsterdam (CR)";"1995";"1494";"771";"526";"1391";"909";"3";"118";"511";"514";"825"
"Groot-Amsterdam (CR)";"2010";"2356";"2027";"858";"1260";"1470";"2";"262";"2270";"1288";"1571"
"Groot-Amsterdam (CR)";"2011";"2147";"1529";"834";"1538";"1078";"2";"268";"2373";"1352";"1533"
"Groot-Amsterdam (CR)";"2012";"1709";"1820";"787";"1665";"957";"2";"266";"2405";"1413";"1603"
"Groot-Amsterdam (CR)";"2013*";"1712";"2169";"843";"1244";"1447";"3";"216";"2414";"1424";"1670"
"Het Gooi en Vechtstreek (CR)";"1995";"196";"81";"19";"50";"102";"0";"11";"60";"84";"116"
"Het Gooi en Vechtstreek (CR)";"2010";"466";"185";"69";"37";"90";"0";"27";"235";"143";"218"
"Het Gooi en Vechtstreek (CR)";"2011";"392";"155";"143";"92";"111";"0";"28";"238";"140";"216"
"Het Gooi en Vechtstreek (CR)";"2012";"322";"98";"101";"50";"91";"0";"28";"235";"130";"221"
"Het Gooi en Vechtstreek (CR)";"2013*";"258";"81";"57";"57";"84";"0";"24";"231";"131";"222"
"Agglomeratie Leiden en Bollenstreek (CR)";"1995";"475";"184";"55";"126";"131";"1";"25";"87";"158";"159"
"Agglomeratie Leiden en Bollenstreek (CR)";"2010";"864";"531";"124";"154";"175";"1";"31";"296";"329";"253"
"Agglomeratie Leiden en Bollenstreek (CR)";"2011";"910";"618";"137";"144";"279";"1";"33";"305";"376";"279"
"Agglomeratie Leiden en Bollenstreek (CR)";"2012";"797";"600";"124";"148";"207";"1";"33";"325";"345";"251"
"Agglomeratie Leiden en Bollenstreek (CR)";"2013*";"777";"687";"108";"139";"178";"1";"28";"337";"349";"247"
"Agglomeratie 's-Gravenhage (CR)";"1995";"1147";"949";"103";"260";"350";"0";"67";"197";"207";"380"
"Agglomeratie 's-Gravenhage (CR)";"2010";"1395";"1205";"437";"422";"620";"0";"112";"1134";"405";"726"
"Agglomeratie 's-Gravenhage (CR)";"2011";"1030";"915";"430";"372";"650";"0";"106";"1081";"415";"671"
"Agglomeratie 's-Gravenhage (CR)";"2012";"891";"691";"338";"411";"485";"0";"99";"1105";"387";"676"
"Agglomeratie 's-Gravenhage (CR)";"2013*";"748";"732";"419";"748";"542";"1";"80";"1091";"390";"803"
"Delft en Westland (CR)";"1995";"162";"163";"31";"79";"203";"1";"14";"53";"155";"96"
"Delft en Westland (CR)";"2010";"483";"240";"101";"82";"201";"1";"28";"186";"278";"151"
"Delft en Westland (CR)";"2011";"313";"188";"62";"124";"296";"1";"31";"189";"264";"175"
"Delft en Westland (CR)";"2012";"335";"218";"127";"96";"252";"1";"34";"194";"264";"152"
"Delft en Westland (CR)";"2013*";"442";"431";"124";"118";"193";"1";"32";"195";"269";"179"
"Oost-Zuid-Holland (CR)";"1995";"307";"152";"138";"174";"135";"5";"14";"62";"65";"101"
"Oost-Zuid-Holland (CR)";"2010";"632";"178";"296";"168";"151";"2";"23";"211";"112";"143"
"Oost-Zuid-Holland (CR)";"2011";"618";"300";"260";"233";"185";"2";"24";"206";"115";"174"
"Oost-Zuid-Holland (CR)";"2012";"577";"410";"259";"93";"204";"2";"25";"212";"114";"144"
"Oost-Zuid-Holland (CR)";"2013*";"441";"483";"257";"96";"151";"2";"22";"207";"115";"146"
"Groot-Rijnmond (CR)";"1995";"1328";"775";"921";"706";"1132";"8";"76";"392";"622";"536"
"Groot-Rijnmond (CR)";"2010";"2507";"2167";"1861";"1380";"2356";"6";"152";"1346";"1021";"1154"
"Groot-Rijnmond (CR)";"2011";"2128";"1957";"3340";"1246";"2481";"5";"161";"1340";"1075";"1169"
"Groot-Rijnmond (CR)";"2012";"1592";"2059";"1827";"944";"2619";"6";"155";"1367";"1104";"1167"
