SCHOOLJAAR 2011-2012 IN HET VO (peildatum 1 oktober 2011);;;;;;;SCHOOLJAAR 2012-2013 IN HET HO (peildatum 1 oktober 2012);;;;;
BRIN NUMMER;VESTINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AQ;0;1714;Sluis;havo;diploma;ec/maat;07GR;hbo;economie;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;07GR;hbo;gedrag en maatschappij;505;Dordrecht;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;07GR;hbo;gedrag en maatschappij;758;Breda;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21MI;hbo;onderwijs;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21MI;hbo;economie;1714;Sluis;5
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21MI;hbo;gedrag en maatschappij;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21UI;hbo;techniek;758;Breda;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21UI;hbo;economie;758;Breda;5
00AQ;0;1714;Sluis;havo;diploma;ec/maat;22OJ;hbo;economie;599;Rotterdam;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;25DW;hbo;economie;344;Utrecht;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;25JX;hbo;economie;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;30GB;hbo;onderwijs;855;Tilburg;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;30GB;hbo;economie;855;Tilburg;2
00AQ;0;1714;Sluis;havo;diploma;cul/maat;07GR;hbo;economie;758;Breda;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;07GR;hbo;economie;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;07GR;hbo;gedrag en maatschappij;758;Breda;2
00AQ;0;1714;Sluis;havo;diploma;cul/maat;07GR;hbo;taal en cultuur;758;Breda;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;21MI;hbo;onderwijs;1714;Sluis;2
00AQ;0;1714;Sluis;havo;diploma;cul/maat;21MI;hbo;techniek;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;21MI;hbo;economie;1714;Sluis;3
00AQ;0;1714;Sluis;havo;diploma;cul/maat;21MI;hbo;gedrag en maatschappij;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;21UI;hbo;economie;758;Breda;2
00AQ;0;1714;Sluis;havo;diploma;cul/maat;25DW;hbo;gedrag en maatschappij;344;Utrecht;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;30GB;hbo;economie;855;Tilburg;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat & cul/maat;21MI;hbo;economie;1714;Sluis;1
00AQ;0;1714;Sluis;vwo;geen diploma;ec/maat;07GR;hbo;economie;758;Breda;1
00AQ;0;1714;Sluis;vwo;geen diploma;ec/maat;21MI;hbo;economie;1714;Sluis;1
00AQ;0;1714;Sluis;vwo;geen diploma;cul/maat;30GB;hbo;economie;855;Tilburg;1
00AQ;0;1714;Sluis;vwo;diploma;nat/tech;21PD;wo;sectoroverstijgend;687;Middelburg;1
00AQ;0;1714;Sluis;vwo;diploma;nat/tech;21PG;wo;techniek;772;Eindhoven;4
00AQ;0;1714;Sluis;vwo;diploma;nat/tech;30GB;hbo;techniek;772;Eindhoven;1
00AQ;0;1714;Sluis;vwo;diploma;nat/gezond;21CW;hbo;landbouw en natuurlijke omgeving;796;s-Hertogenbosch;1
00AQ;0;1714;Sluis;vwo;diploma;nat/gezond;21PK;wo;gezondheidszorg;437;Ouder-Amstel;1
00AQ;0;1714;Sluis;vwo;diploma;nat/gezond;30GB;hbo;techniek;1714;Sluis;1
00AQ;0;1714;Sluis;vwo;diploma;ec/maat;21PE;wo;economie;599;Rotterdam;1
00AQ;0;1714;Sluis;vwo;diploma;ec/maat;21PM;wo;gedrag en maatschappij;268;Nijmegen;1
00AQ;0;1714;Sluis;vwo;diploma;ec/maat;21PN;wo;gedrag en maatschappij;855;Tilburg;1
00AQ;0;1714;Sluis;vwo;diploma;cul/maat;21PD;wo;gedrag en maatschappij;344;Utrecht;1
00AQ;0;1714;Sluis;vwo;diploma;cul/maat;21PM;wo;recht;268;Nijmegen;1
00AQ;0;1714;Sluis;vwo;diploma;ec/maat & cul/maat;21PM;wo;gedrag en maatschappij;268;Nijmegen;1
00AQ;0;1714;Sluis;vwo;diploma;ec/maat & cul/maat;28DN;hbo;techniek;363;Amsterdam;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat;27UM;hbo;techniek;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;nat/tech;22OJ;hbo;techniek;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;nat/tech;22OJ;hbo;economie;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;nat/tech;25DW;hbo;onderwijs;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;diploma;nat/tech;25DW;hbo;techniek;627;Waddinxveen;2
00BD;0;627;Waddinxveen;havo;diploma;nat/tech;27PZ;hbo;gezondheidszorg;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;nat/tech;27UM;hbo;onderwijs;1666;Zevenhuizen-Moerkapelle;1
00BD;0;627;Waddinxveen;havo;diploma;nat/tech;27UM;hbo;techniek;499;Boskoop;2
00BD;0;627;Waddinxveen;havo;diploma;nat/tech;27UM;hbo;techniek;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;nat/tech;27UM;hbo;techniek;1666;Zevenhuizen-Moerkapelle;1
00BD;0;627;Waddinxveen;havo;diploma;nat/gezond;21RI;hbo;techniek;513;Gouda;1
00BD;0;627;Waddinxveen;havo;diploma;nat/gezond;21RI;hbo;techniek;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;nat/gezond;21RI;hbo;gezondheidszorg;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;diploma;nat/gezond;27PZ;hbo;economie;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;diploma;nat/gezond;27UM;hbo;economie;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;10IZ;hbo;onderwijs;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;21RI;hbo;onderwijs;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;21RI;hbo;economie;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;21RI;hbo;economie;1672;Rijnwoude;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;21RI;hbo;gedrag en maatschappij;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;21UI;hbo;economie;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;22OJ;hbo;techniek;1672;Rijnwoude;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;22OJ;hbo;gezondheidszorg;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;22OJ;hbo;economie;499;Boskoop;2
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;22OJ;hbo;economie;627;Waddinxveen;3
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;22OJ;hbo;gedrag en maatschappij;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;22OJ;hbo;gedrag en maatschappij;1666;Zevenhuizen-Moerkapelle;2
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;25DW;hbo;gedrag en maatschappij;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;25JX;hbo;economie;935;Maastricht;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;27PZ;hbo;economie;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;27PZ;hbo;economie;637;Zoetermeer;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;27PZ;hbo;gedrag en maatschappij;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;27UM;hbo;economie;499;Boskoop;2
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;27UM;hbo;economie;627;Waddinxveen;6
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;27UM;hbo;economie;1666;Zevenhuizen-Moerkapelle;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;30GB;hbo;gedrag en maatschappij;1672;Rijnwoude;1
00BD;0;627;Waddinxveen;havo;diploma;cul/maat;10IZ;hbo;onderwijs;627;Waddinxveen;1
